traffic_source,order_month,total_orders,unique_customers,total_revenue,prev_month_revenue,mom_growth_pct,channel_rank
Search,2022-01-01,348,347,28510.2,,,1
Organic,2022-01-01,83,82,6237.22,,,2
Facebook,2022-01-01,38,38,3287.55,,,3
Display,2022-01-01,32,32,2818.37,,,4
Email,2022-01-01,26,26,2477.32,,,5
Search,2022-02-01,328,327,29533.29,28510.2,3.59,1
Organic,2022-02-01,79,79,5682.15,6237.22,-8.9,2
Email,2022-02-01,28,28,3218.36,2477.32,29.91,3
Facebook,2022-02-01,27,27,1632.39,3287.55,-50.35,4
Display,2022-02-01,24,24,1372.0,2818.37,-51.32,5
Search,2022-03-01,426,425,37250.18,29533.29,26.13,1
Organic,2022-03-01,112,112,10650.13,5682.15,87.43,2
Facebook,2022-03-01,41,41,4129.87,1632.39,153.0,3
Display,2022-03-01,33,33,1943.73,1372.0,41.67,4
Email,2022-03-01,27,27,1676.16,3218.36,-47.92,5
Search,2022-04-01,435,432,37543.34,37250.18,0.79,1
Organic,2022-04-01,93,91,8127.73,10650.13,-23.68,2
Email,2022-04-01,29,29,3439.46,1676.16,105.2,3
Facebook,2022-04-01,35,32,3257.75,4129.87,-21.12,4
Display,2022-04-01,24,24,2232.04,1943.73,14.83,5
Search,2022-05-01,449,447,38167.07,37543.34,1.66,1
Organic,2022-05-01,79,79,5924.24,8127.73,-27.11,2
Display,2022-05-01,27,27,2965.42,2232.04,32.86,3
Facebook,2022-05-01,33,33,2785.75,3257.75,-14.49,4
Email,2022-05-01,31,31,2716.02,3439.46,-21.03,5
Search,2022-06-01,449,448,37143.28,38167.07,-2.68,1
Organic,2022-06-01,84,84,7537.07,5924.24,27.22,2
Email,2022-06-01,39,38,2990.98,2716.02,10.12,3
Facebook,2022-06-01,38,37,2697.49,2785.75,-3.17,4
Display,2022-06-01,25,25,1722.46,2965.42,-41.92,5
Search,2022-07-01,510,507,43493.24,37143.28,17.1,1
Organic,2022-07-01,126,126,11691.3,7537.07,55.12,2
Facebook,2022-07-01,38,38,3870.17,2697.49,43.47,3
Email,2022-07-01,36,36,2592.6,2990.98,-13.32,4
Display,2022-07-01,31,31,2241.52,1722.46,30.13,5
Search,2022-08-01,468,467,40127.96,43493.24,-7.74,1
Organic,2022-08-01,99,98,9375.8,11691.3,-19.81,2
Email,2022-08-01,36,36,4269.33,2592.6,64.67,3
Facebook,2022-08-01,44,44,3712.14,3870.17,-4.08,4
Display,2022-08-01,26,26,2122.08,2241.52,-5.33,5
Search,2022-09-01,520,519,42185.71,40127.96,5.13,1
Organic,2022-09-01,103,103,7676.04,9375.8,-18.13,2
Facebook,2022-09-01,40,39,3627.4,3712.14,-2.28,3
Email,2022-09-01,34,34,2987.77,4269.33,-30.02,4
Display,2022-09-01,24,24,1537.16,2122.08,-27.56,5
Search,2022-10-01,538,534,46733.55,42185.71,10.78,1
Organic,2022-10-01,122,122,11461.79,7676.04,49.32,2
Facebook,2022-10-01,45,45,3603.86,3627.4,-0.65,3
Display,2022-10-01,37,37,2985.1,1537.16,94.2,4
Email,2022-10-01,31,31,2891.52,2987.77,-3.22,5
Search,2022-11-01,522,517,45859.87,46733.55,-1.87,1
Organic,2022-11-01,93,93,8003.19,11461.79,-30.18,2
Email,2022-11-01,42,42,5038.56,2891.52,74.25,3
Display,2022-11-01,37,36,2902.58,2985.1,-2.76,4
Facebook,2022-11-01,35,35,2864.78,3603.86,-20.51,5
Search,2022-12-01,574,567,49509.51,45859.87,7.96,1
Organic,2022-12-01,131,130,9799.06,8003.19,22.44,2
Facebook,2022-12-01,42,42,4302.73,2864.78,50.19,3
Email,2022-12-01,39,39,3439.14,5038.56,-31.74,4
Display,2022-12-01,26,26,2922.06,2902.58,0.67,5
Search,2023-01-01,561,558,48179.85,49509.51,-2.69,1
Organic,2023-01-01,100,100,10149.57,9799.06,3.58,2
Facebook,2023-01-01,69,69,5904.3,4302.73,37.22,3
Email,2023-01-01,38,38,3391.88,3439.14,-1.37,4
Display,2023-01-01,28,27,2043.61,2922.06,-30.06,5
Search,2023-02-01,551,546,42516.2,48179.85,-11.76,1
Organic,2023-02-01,115,114,8846.18,10149.57,-12.84,2
Facebook,2023-02-01,47,47,4355.31,5904.3,-26.23,3
Email,2023-02-01,38,38,2864.75,3391.88,-15.54,4
Display,2023-02-01,30,30,2758.48,2043.61,34.98,5
Search,2023-03-01,650,647,58810.36,42516.2,38.32,1
Organic,2023-03-01,121,121,10534.86,8846.18,19.09,2
Facebook,2023-03-01,54,54,5039.61,4355.31,15.71,3
Display,2023-03-01,45,43,5006.21,2758.48,81.48,4
Email,2023-03-01,45,45,3523.02,2864.75,22.98,5
Search,2023-04-01,648,640,47461.75,58810.36,-19.3,1
Organic,2023-04-01,145,144,13095.12,10534.86,24.3,2
Facebook,2023-04-01,51,50,4906.17,5039.61,-2.65,3
Email,2023-04-01,45,45,4401.68,3523.02,24.94,4
Display,2023-04-01,34,34,2651.68,5006.21,-47.03,5
Search,2023-05-01,689,685,56546.57,47461.75,19.14,1
Organic,2023-05-01,148,147,12288.13,13095.12,-6.16,2
Email,2023-05-01,47,47,4366.79,4401.68,-0.79,3
Facebook,2023-05-01,49,49,3683.41,4906.17,-24.92,4
Display,2023-05-01,33,33,2877.88,2651.68,8.53,5
Search,2023-06-01,678,669,60604.65,56546.57,7.18,1
Organic,2023-06-01,152,151,11969.62,12288.13,-2.59,2
Facebook,2023-06-01,51,51,4222.48,3683.41,14.64,3
Display,2023-06-01,41,41,4192.76,2877.88,45.69,4
Email,2023-06-01,47,47,3028.29,4366.79,-30.65,5
Search,2023-07-01,718,715,63667.5,60604.65,5.05,1
Organic,2023-07-01,138,138,9761.83,11969.62,-18.44,2
Email,2023-07-01,57,57,5773.74,3028.29,90.66,3
Facebook,2023-07-01,51,51,4195.99,4222.48,-0.63,4
Display,2023-07-01,34,34,2626.05,4192.76,-37.37,5
Search,2023-08-01,730,727,63524.52,63667.5,-0.22,1
Organic,2023-08-01,140,140,11118.3,9761.83,13.9,2
Facebook,2023-08-01,54,54,4928.15,4195.99,17.45,3
Email,2023-08-01,50,50,4360.2,5773.74,-24.48,4
Display,2023-08-01,44,44,3747.91,2626.05,42.72,5
Search,2023-09-01,716,707,68157.06,63524.52,7.29,1
